epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0307,0,118.577,0,0,0,0,0,0,248.359,0,5.001e-05,5.001e-05,5.001e-05
2,22.4532,0,116.51,0,0,0,0,0,0,248.71,0,0.00011438,0.00011438,0.00011438
3,28.6444,0,113.793,0,0,0,0,0,0,248.4,0,0.000176109,0.000176109,0.000176109
