epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.3925,0.70344,1,1,0.47884,5.001e-05,5.001e-05,5.001e-05
2,21.7596,0.61223,1,1,0.41866,0.000112839,0.000112839,0.000112839
3,22.8456,0.39069,1,1,0.36276,0.000171268,0.000171268,0.000171268
4,23.9418,0.20088,1,1,0.30717,0.000225295,0.000225295,0.000225295
5,24.874,0.12368,1,1,0.28218,0.000274922,0.000274922,0.000274922
6,25.8551,0.07634,1,1,0.25417,0.000320147,0.000320147,0.000320147
7,26.8335,0.03916,1,1,0.22809,0.000360972,0.000360972,0.000360972
8,27.8055,0.0327,1,1,0.20608,0.000397396,0.000397396,0.000397396
9,28.8123,0.01608,1,1,0.19506,0.000429419,0.000429419,0.000429419
10,29.7915,0.0132,1,1,0.17483,0.000457041,0.000457041,0.000457041
11,30.7753,0.00645,1,1,0.17047,0.000480263,0.000480263,0.000480263
12,31.7209,0.00475,1,1,0.14641,0.000499083,0.000499083,0.000499083
13,32.6877,0.00391,1,1,0.1372,0.000513503,0.000513503,0.000513503
14,33.571,0.00277,1,1,0.13335,0.000523521,0.000523521,0.000523521
15,34.5721,0.01193,1,1,0.12519,0.000529139,0.000529139,0.000529139
16,35.5365,0.00185,1,1,0.11907,0.000530356,0.000530356,0.000530356
17,36.5459,0.00126,1,1,0.11967,0.000527172,0.000527172,0.000527172
18,37.5002,0.00392,1,1,0.10444,0.000519587,0.000519587,0.000519587
19,38.4297,0.00381,1,1,0.10044,0.000507602,0.000507602,0.000507602
20,39.3783,0.00357,1,1,0.11877,0.000491215,0.000491215,0.000491215
21,55.5235,0.00074,1,1,0.09982,0.000470427,0.000470427,0.000470427
22,57.8781,0.00228,1,1,0.10178,0.000445239,0.000445239,0.000445239
23,58.8509,0.0004,1,1,0.1028,0.00041565,0.00041565,0.00041565
24,59.7962,0.0015,1,1,0.1023,0.00038166,0.00038166,0.00038166
25,60.7884,0.00108,1,1,0.10248,0.000343269,0.000343269,0.000343269
26,61.7059,0.00298,1,1,0.09573,0.000291725,0.000291725,0.000291725
27,62.6438,0.00152,1,1,0.09924,0.000236714,0.000236714,0.000236714
28,63.5748,0.01929,1,1,0.09966,0.000181703,0.000181703,0.000181703
29,64.5928,0.00046,1,1,0.10238,0.000126692,0.000126692,0.000126692
30,65.4979,0.00203,1,1,0.10021,7.1681e-05,7.1681e-05,7.1681e-05
